time,open,High,Low,Close,volume,ADX,DI+,DI-
2013-05-16,486.0,491.44,485.28,490.34,49810572,14.487998564124513,25.966031559436992,23.41376561324545
2013-05-17,489.99,491.85,487.6,487.6,50053792,13.881399982399499,25.262857978715843,22.40488216997542
2013-05-20,487.71,492.96,485.42,492.27,48672677,12.958052988503757,23.341265761448874,22.899874623813744
2013-05-21,495.95,502.6,495.95,500.18,88739473,13.407084892836009,30.402298108082938,20.589233069511817
2013-05-22,503.18,504.68,501.44,502.23,66881258,14.061369871378194,31.117312029880352,19.65866044617822
2013-05-23,501.14,506.58,498.22,498.22,80016322,14.10694993012421,28.536865756298713,21.222493389374772
2013-05-24,498.87,503.6,495.96,500.24,62516175,13.7701668478955,26.383595731469196,21.853202060291565
2013-05-27,504.38,516.08,504.38,512.41,93328180,14.85408504785338,33.939485499600416,18.702307205561457
2013-05-28,515.3,517.97,512.81,516.33,87434346,16.033134042146596,33.94224142458078,17.73565476081842
2013-05-29,517.91,520.36,511.31,515.09,99722935,17.344918619336717,33.31640791185744,16.26227425601944
2013-05-30,517.18,521.45,513.68,521.45,75593610,18.662679201984258,31.940546963389764,15.102251486676819
2013-05-31,526.58,526.58,518.39,518.39,150130800,20.332644947228594,34.23993271384385,13.97099727982166
2013-06-03,518.3,521.35,516.64,517.03,75928063,21.533104148513868,32.72190808276697,14.998857683502967
2013-06-04,517.03,521.96,510.69,510.69,78925460,21.548651216059547,29.366912883953116,18.87412008804202
2013-06-05,512.43,514.64,508.86,514.64,56284750,21.251454500443543,27.793011574559124,19.559419533076902
2013-06-06,513.43,521.28,513.16,520.9,72252080,21.700261731414322,31.841648811227614,18.09242387031078
2013-06-07,523.21,527.97,523.19,527.97,74548104,22.725705538157825,35.96689856430611,16.90364443260695
2013-06-10,531.56,533.15,524.56,524.56,94171518,24.085779968154714,37.89348775200306,15.565434604199604
2013-06-11,524.89,525.68,520.94,521.95,68047473,24.71099971639101,36.19088649788734,18.297517673659307
2013-06-12,521.21,524.91,518.24,518.24,70558170,24.83470353863986,33.88375634757779,19.711611808995844
2013-06-13,518.28,519.54,510.07,515.09,62541629,23.724683130181223,30.874358256562328,25.62323580601519
2013-06-14,517.14,518.0,509.03,509.03,60674030,22.55145612798947,28.30958627360143,24.457826301788394
2013-06-17,510.52,511.23,498.31,498.52,75810190,21.71050859708282,25.07811390843026,31.137096484323283
2013-06-18,497.05,500.54,495.5,498.88,55766067,21.218966875892345,23.930561525009157,32.26354283410765
2013-06-19,501.58,504.11,500.61,503.37,43058375,20.282845757502262,26.087147871633093,30.69395254961905
2013-06-20,502.22,503.75,498.55,499.51,49534013,19.643756818637733,24.795530184021867,31.13566735537959
2013-06-21,497.3,501.25,495.23,498.84,94144650,19.413674078669015,23.353928875103573,32.53182120691627
2013-06-24,500.44,501.14,487.41,489.74,58308957,19.95846075158497,20.43569608080162,35.58373551858312
2013-06-25,487.04,488.55,466.78,473.02,86819654,21.846462741773056,16.681752905347285,45.55255020293135
2013-06-26,473.26,476.47,466.41,473.53,66675880,23.619122860790917,15.351145806507843,42.212453750327604
2013-06-27,476.33,482.95,475.0,482.95,46019883,24.346498249291113,19.329492676569433,39.06986421908531
2013-06-28,485.29,485.94,479.94,481.13,62412303,24.622842058329923,20.811521384401388,37.17165536613087
2013-07-01,478.98,482.03,475.26,480.04,35055382,25.216612571917192,19.65136403590358,38.953119434864554
2013-07-02,480.72,490.14,480.72,489.84,37835960,24.73010135815537,24.636508232512668,35.75112774832616
2013-07-03,489.81,492.93,487.11,487.35,45991406,23.949185324339055,25.76745818275151,34.01593902685736
2013-07-04,489.2,490.65,486.49,487.22,39430283,23.280868385860053,24.839445531508662,33.327618748928096
2013-07-05,488.08,489.99,485.22,485.66,38315360,22.781995237462038,23.781807852191143,33.04221707646745
2013-07-08,485.73,485.95,480.58,482.77,38644804,22.753910527391156,22.61440494132441,35.66173986802389
2013-07-09,484.01,484.05,483.39,485.5,29843561,22.727831868039623,22.332992564245487,35.21796719246293
2013-07-10,487.81,489.83,484.43,484.43,30641786,21.871851092014957,26.86558088531764,33.333422625765934
2013-07-11,484.37,485.44,482.11,484.47,35042005,21.328858770863114,25.94362950578394,34.58038070317394
2013-07-12,485.14,493.99,485.13,493.99,51846234,19.89231224048236,32.046696712289105,31.275929060004632
2013-07-15,496.12,498.32,492.95,494.1,43276256,19.044032172466007,34.712334962847535,29.560012129759784
2013-07-16,494.66,497.83,493.74,496.22,42316076,18.256343537879392,33.21752159976466,28.287072663378467
2013-07-17,496.42,497.96,493.37,497.5,42123800,17.472646514536287,31.574246768850205,27.286486498151362
2013-07-18,496.17,500.51,494.23,496.84,53151656,17.061991652526803,32.18779334693493,25.43267066748654
2013-07-19,499.64,505.38,499.28,503.76,48105537,17.245900167561665,34.435422326946814,23.131226034651316
2013-07-22,505.11,507.71,501.63,506.16,54393220,17.67009223654826,34.68760492437639,21.630486759672724
2013-07-23,506.16,508.64,504.22,504.29,53031692,18.16616789554603,34.027936182173754,20.584903079846494
2013-07-24,503.67,504.27,493.36,494.18,60419850,16.937743379093124,30.14713712957125,29.568951232949527
2013-07-25,493.75,495.85,491.71,491.78,42245350,15.875925841242651,28.80700235508022,30.026201574725082
2013-07-26,493.52,495.16,487.92,493.93,43407252,15.374881487379598,26.581610006055477,31.750605466515026
2013-07-29,493.81,494.36,489.98,485.69,32825920,14.909626015935334,25.307860071486605,30.229165206640523
2013-07-30,485.74,489.07,485.74,488.54,30658664,15.014839281304418,24.33863125710502,33.875651109229246
2013-07-31,488.67,490.86,487.1,491.85,41623310,14.811911712836551,25.359333661699246,32.389604715143875
2013-08-01,491.48,494.31,489.57,492.43,31501926,14.064047387965886,28.025013583037378,30.56905750328464
2013-08-02,494.61,495.71,493.02,494.66,26274120,13.14892645509924,28.614302295740295,29.3400967199832
2013-08-05,494.38,496.74,492.75,493.66,29581536,12.286040471790235,28.474224153219534,27.8721503572738
2013-08-06,492.66,496.56,491.91,496.56,34416970,11.474607227647146,26.791873684243573,27.292683188839572
2013-08-07,496.95,502.26,495.02,500.1,40447500,11.497438829128251,31.473432101353456,24.83256252778765
2013-08-08,499.61,503.51,497.05,498.22,28326350,11.70075314307532,30.5070595491519,22.853156018361368
2013-08-09,498.88,502.04,498.88,500.62,28096325,11.889545006026166,29.033304022975592,21.749150405550164
2013-08-12,501.35,501.39,497.53,499.46,31453181,11.779483506348175,27.583265939630135,22.409656381032857
2013-08-13,499.46,502.63,497.4,497.73,36519563,11.891210629108315,27.320129669445905,20.88746993003895
2013-08-14,498.51,503.89,496.35,503.57,35781109,12.213255256676424,26.30801691694158,18.894825205870198
2013-08-15,505.14,509.6,505.03,508.22,63488110,13.389166851004694,31.500130021111204,17.460244435915836
2013-08-16,508.22,510.22,505.48,507.79,60576180,14.567087051038,30.387723436051388,16.40579645802916
2013-08-19,507.27,513.34,507.16,511.02,61779610,16.080673384412542,31.958696276849768,15.1234087514785
2013-08-20,509.06,510.59,504.11,504.81,65900790,16.69987419570803,29.20941518929821,17.61949997548804
2013-08-21,504.77,504.78,497.01,502.7,53623892,15.76953163688495,26.444010760378323,24.56923403399072
2013-08-22,499.91,503.92,494.4,496.12,53025024,14.844841464012733,23.51747693602589,24.88427922869089
2013-08-23,496.12,497.89,482.78,486.82,54165220,15.590269286865738,19.776479536377117,33.15901157469323
2013-08-26,485.26,490.54,478.59,490.54,43033115,16.721958714501906,17.416799318638954,33.38616226876965
